PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title
1,0.0,3,1,22.0,1,0,7.25,2,7
2,1.0,1,0,38.0,1,0,71.2833,0,8
3,1.0,3,0,26.0,0,0,7.925,2,6
4,1.0,1,0,35.0,1,0,53.1,2,8
5,0.0,3,1,35.0,0,0,8.05,2,7
6,0.0,3,1,39.99166666666667,0,0,8.4583,1,8
7,0.0,1,1,54.0,0,0,51.8625,2,7
8,0.0,3,1,2.0,3,1,21.075,2,5
9,1.0,3,0,27.0,0,2,11.1333,2,6
10,1.0,2,0,14.0,1,0,30.0708,0,6
11,1.0,3,0,4.0,1,1,16.7,2,6
12,1.0,1,0,58.0,0,0,26.55,2,8
13,0.0,3,1,20.0,0,0,8.05,2,7
14,0.0,3,1,39.0,1,5,31.275,2,7
15,0.0,3,0,14.0,0,0,7.8542,2,6
16,1.0,2,0,55.0,0,0,16.0,2,8
17,0.0,3,1,2.0,4,1,29.125,1,5
18,1.0,2,1,39.99166666666667,0,0,13.0,2,8
19,0.0,3,0,31.0,1,0,18.0,2,8
20,1.0,3,0,39.99166666666667,0,0,7.225,0,8
21,0.0,2,1,35.0,0,0,26.0,2,7
22,1.0,2,1,34.0,0,0,13.0,2,7
23,1.0,3,0,15.0,0,0,8.0292,1,6
24,1.0,1,1,28.0,0,0,35.5,2,7
25,0.0,3,0,8.0,3,1,21.075,2,6
26,1.0,3,0,38.0,1,5,31.3875,2,8
27,0.0,3,1,39.99166666666667,0,0,7.225,0,8
28,0.0,1,1,19.0,3,2,263.0,2,7
29,1.0,3,0,39.99166666666667,0,0,7.8792,1,8
30,0.0,3,1,39.99166666666667,0,0,7.8958,2,8
31,0.0,1,1,40.0,0,0,27.7208,0,7
32,1.0,1,0,39.99166666666667,1,0,146.5208,0,8
33,1.0,3,0,39.99166666666667,0,0,7.75,1,8
34,0.0,2,1,66.0,0,0,10.5,2,7
35,0.0,1,1,28.0,1,0,82.1708,0,7
36,0.0,1,1,42.0,1,0,52.0,2,7
37,1.0,3,1,39.99166666666667,0,0,7.2292,0,8
38,0.0,3,1,21.0,0,0,8.05,2,7
39,0.0,3,0,18.0,2,0,18.0,2,6
40,1.0,3,0,14.0,1,0,11.2417,0,6
41,0.0,3,0,40.0,1,0,9.475,2,8
42,0.0,2,0,27.0,1,0,21.0,2,6
43,0.0,3,1,39.99166666666667,0,0,7.8958,0,8
44,1.0,2,0,3.0,1,2,41.5792,0,6
45,1.0,3,0,19.0,0,0,7.8792,1,6
46,0.0,3,1,39.99166666666667,0,0,8.05,2,8
47,0.0,3,1,39.99166666666667,1,0,15.5,1,8
48,1.0,3,0,39.99166666666667,0,0,7.75,1,8
49,0.0,3,1,39.99166666666667,2,0,21.6792,0,8
50,0.0,3,0,18.0,1,0,17.8,2,6
51,0.0,3,1,7.0,4,1,39.6875,2,5
52,0.0,3,1,21.0,0,0,7.8,2,7
53,1.0,1,0,49.0,1,0,76.7292,0,8
54,1.0,2,0,29.0,1,0,26.0,2,8
55,0.0,1,1,65.0,0,1,61.9792,0,7
56,1.0,1,1,39.99166666666667,0,0,35.5,2,8
57,1.0,2,0,21.0,0,0,10.5,2,6
58,0.0,3,1,28.5,0,0,7.2292,0,7
59,1.0,2,0,5.0,1,2,27.75,2,6
60,0.0,3,1,11.0,5,2,46.9,2,5
61,0.0,3,1,22.0,0,0,7.2292,0,7
62,1.0,1,0,38.0,0,0,80.0,2,8
63,0.0,1,1,45.0,1,0,83.475,2,7
64,0.0,3,1,4.0,3,2,27.9,2,5
65,0.0,1,1,39.99166666666667,0,0,27.7208,0,8
66,1.0,3,1,39.99166666666667,1,1,15.2458,0,8
67,1.0,2,0,29.0,0,0,10.5,2,8
68,0.0,3,1,19.0,0,0,8.1583,2,7
69,1.0,3,0,17.0,4,2,7.925,2,6
70,0.0,3,1,26.0,2,0,8.6625,2,7
71,0.0,2,1,32.0,0,0,10.5,2,7
72,0.0,3,0,16.0,5,2,46.9,2,6
73,0.0,2,1,21.0,0,0,73.5,2,7
74,0.0,3,1,26.0,1,0,14.4542,0,7
75,1.0,3,1,32.0,0,0,56.4958,2,7
76,0.0,3,1,25.0,0,0,7.65,2,7
77,0.0,3,1,39.99166666666667,0,0,7.8958,2,8
78,0.0,3,1,39.99166666666667,0,0,8.05,2,8
79,1.0,2,1,0.83,0,2,29.0,2,5
80,1.0,3,0,30.0,0,0,12.475,2,8
81,0.0,3,1,22.0,0,0,9.0,2,7
82,1.0,3,1,29.0,0,0,9.5,2,7
83,1.0,3,0,39.99166666666667,0,0,7.7875,1,8
84,0.0,1,1,28.0,0,0,47.1,2,7
85,1.0,2,0,17.0,0,0,10.5,2,6
86,1.0,3,0,33.0,3,0,15.85,2,8
87,0.0,3,1,16.0,1,3,34.375,2,7
88,0.0,3,1,39.99166666666667,0,0,8.05,2,8
89,1.0,1,0,23.0,3,2,263.0,2,6
90,0.0,3,1,24.0,0,0,8.05,2,7
91,0.0,3,1,29.0,0,0,8.05,2,7
92,0.0,3,1,20.0,0,0,7.8542,2,7
93,0.0,1,1,46.0,1,0,61.175,2,7
94,0.0,3,1,26.0,1,2,20.575,2,7
95,0.0,3,1,59.0,0,0,7.25,2,7
96,0.0,3,1,39.99166666666667,0,0,8.05,2,8
97,0.0,1,1,71.0,0,0,34.6542,0,7
98,1.0,1,1,23.0,0,1,63.3583,0,7
99,1.0,2,0,34.0,0,1,23.0,2,8
100,0.0,2,1,34.0,1,0,26.0,2,7
101,0.0,3,0,28.0,0,0,7.8958,2,6
102,0.0,3,1,39.99166666666667,0,0,7.8958,2,8
103,0.0,1,1,21.0,0,1,77.2875,2,7
104,0.0,3,1,33.0,0,0,8.6542,2,7
105,0.0,3,1,37.0,2,0,7.925,2,7
106,0.0,3,1,28.0,0,0,7.8958,2,7
107,1.0,3,0,21.0,0,0,7.65,2,6
108,1.0,3,1,39.99166666666667,0,0,7.775,2,8
109,0.0,3,1,38.0,0,0,7.8958,2,7
110,1.0,3,0,39.99166666666667,1,0,24.15,1,8
111,0.0,1,1,47.0,0,0,52.0,2,7
112,0.0,3,0,14.5,1,0,14.4542,0,6
113,0.0,3,1,22.0,0,0,8.05,2,7
114,0.0,3,0,20.0,1,0,9.825,2,6
115,0.0,3,0,17.0,0,0,14.4583,0,6
116,0.0,3,1,21.0,0,0,7.925,2,7
117,0.0,3,1,70.5,0,0,7.75,1,7
118,0.0,2,1,29.0,1,0,21.0,2,7
119,0.0,1,1,24.0,0,1,247.5208,0,7
120,0.0,3,0,2.0,4,2,31.275,2,6
121,0.0,2,1,21.0,2,0,73.5,2,7
122,0.0,3,1,39.99166666666667,0,0,8.05,2,8
123,0.0,2,1,32.5,1,0,30.0708,0,7
124,1.0,2,0,32.5,0,0,13.0,2,8
125,0.0,1,1,54.0,0,1,77.2875,2,7
126,1.0,3,1,12.0,1,0,11.2417,0,5
127,0.0,3,1,39.99166666666667,0,0,7.75,1,8
128,1.0,3,1,24.0,0,0,7.1417,2,7
129,1.0,3,0,39.99166666666667,1,1,22.3583,0,8
130,0.0,3,1,45.0,0,0,6.975,2,7
131,0.0,3,1,33.0,0,0,7.8958,0,7
132,0.0,3,1,20.0,0,0,7.05,2,7
133,0.0,3,0,47.0,1,0,14.5,2,8
134,1.0,2,0,29.0,1,0,26.0,2,8
135,0.0,2,1,25.0,0,0,13.0,2,7
136,0.0,2,1,23.0,0,0,15.0458,0,7
137,1.0,1,0,19.0,0,2,26.2833,2,6
138,0.0,1,1,37.0,1,0,53.1,2,7
139,0.0,3,1,16.0,0,0,9.2167,2,7
140,0.0,1,1,24.0,0,0,79.2,0,7
141,0.0,3,0,39.99166666666667,0,2,15.2458,0,8
142,1.0,3,0,22.0,0,0,7.75,2,6
143,1.0,3,0,24.0,1,0,15.85,2,6
144,0.0,3,1,19.0,0,0,6.75,1,7
145,0.0,2,1,18.0,0,0,11.5,2,7
146,0.0,2,1,19.0,1,1,36.75,2,7
147,1.0,3,1,27.0,0,0,7.7958,2,7
148,0.0,3,0,9.0,2,2,34.375,2,6
149,0.0,2,1,36.5,0,2,26.0,2,7
150,0.0,2,1,42.0,0,0,13.0,2,7
151,0.0,2,1,51.0,0,0,12.525,2,7
152,1.0,1,0,22.0,1,0,66.6,2,6
153,0.0,3,1,55.5,0,0,8.05,2,7
154,0.0,3,1,40.5,0,2,14.5,2,7
155,0.0,3,1,39.99166666666667,0,0,7.3125,2,8
156,0.0,1,1,51.0,0,1,61.3792,0,7
157,1.0,3,0,16.0,0,0,7.7333,1,6
158,0.0,3,1,30.0,0,0,8.05,2,7
159,0.0,3,1,39.99166666666667,0,0,8.6625,2,8
160,0.0,3,1,39.99166666666667,8,2,69.55,2,8
161,0.0,3,1,44.0,0,1,16.1,2,7
162,1.0,2,0,40.0,0,0,15.75,2,8
163,0.0,3,1,26.0,0,0,7.775,2,7
164,0.0,3,1,17.0,0,0,8.6625,2,7
165,0.0,3,1,1.0,4,1,39.6875,2,5
166,1.0,3,1,9.0,0,2,20.525,2,5
167,1.0,1,0,39.99166666666667,0,1,55.0,2,8
168,0.0,3,0,45.0,1,4,27.9,2,8
169,0.0,1,1,39.99166666666667,0,0,25.925,2,8
170,0.0,3,1,28.0,0,0,56.4958,2,7
171,0.0,1,1,61.0,0,0,33.5,2,7
172,0.0,3,1,4.0,4,1,29.125,1,5
173,1.0,3,0,1.0,1,1,11.1333,2,6
174,0.0,3,1,21.0,0,0,7.925,2,7
175,0.0,1,1,56.0,0,0,30.6958,0,7
176,0.0,3,1,18.0,1,1,7.8542,2,7
177,0.0,3,1,39.99166666666667,3,1,25.4667,2,8
178,0.0,1,0,50.0,0,0,28.7125,0,8
179,0.0,2,1,30.0,0,0,13.0,2,7
180,0.0,3,1,36.0,0,0,0.0,2,7
181,0.0,3,0,39.99166666666667,8,2,69.55,2,8
182,0.0,2,1,39.99166666666667,0,0,15.05,0,8
183,0.0,3,1,9.0,4,2,31.3875,2,5
184,1.0,2,1,1.0,2,1,39.0,2,5
185,1.0,3,0,4.0,0,2,22.025,2,6
186,0.0,1,1,39.99166666666667,0,0,50.0,2,8
187,1.0,3,0,39.99166666666667,1,0,15.5,1,8
188,1.0,1,1,45.0,0,0,26.55,2,7
189,0.0,3,1,40.0,1,1,15.5,1,7
190,0.0,3,1,36.0,0,0,7.8958,2,7
191,1.0,2,0,32.0,0,0,13.0,2,8
192,0.0,2,1,19.0,0,0,13.0,2,7
193,1.0,3,0,19.0,1,0,7.8542,2,6
194,1.0,2,1,3.0,1,1,26.0,2,5
195,1.0,1,0,44.0,0,0,27.7208,0,8
196,1.0,1,0,58.0,0,0,146.5208,0,8
197,0.0,3,1,39.99166666666667,0,0,7.75,1,8
